Frame,Time (Sec),Y (mm),Z (mm),Layer,MP Area,MP Eccentricity,Tmax,Row,Column,Porosity Label,Porosity Size (mm)
274,82.62,15.49,5.1,11,500,0.3513569700551781,1721,104,95,0,0.0
275,82.77,17.42,5.1,11,467,0.4417131184636479,1713,99,95,0,0.0
276,82.92,19.36,5.1,11,471,0.4896804092115476,1717,100,95,0,0.0
277,83.08,21.3,5.1,11,825,0.4919803994091346,1773,104,95,0,0.0
278,83.23,23.23,5.1,11,448,0.4320502579167623,1713,99,95,0,0.0
279,83.38,25.17,5.1,11,658,0.4147853939845397,1747,101,95,0,0.0
280,83.53,27.1,5.1,11,482,0.4087515549645658,1720,101,94,0,0.0
281,83.69,29.04,5.1,11,380,0.316103997619873,1713,99,94,0,0.0
282,83.84,30.97,5.1,11,491,0.4248661783654131,1725,102,98,0,0.0
283,83.99,32.91,5.1,11,694,0.455021405563261,1760,101,97,0,0.0
284,84.14,34.85,5.1,11,401,0.4703577160357224,1715,101,94,0,0.0
285,84.3,36.78,5.1,11,445,0.3630444125713776,1720,101,91,0,0.0
286,84.45,38.72,5.1,11,597,0.4128255568751551,1736,104,93,0,0.0
287,84.6,40.65,5.1,11,424,0.5400920150897838,1706,99,95,0,0.0
288,84.75,42.59,5.1,11,458,0.4815364815850108,1731,101,97,0,0.0
289,84.91,44.53,5.1,11,358,0.5341482466470381,1708,101,94,0,0.0
290,85.06,46.46,5.1,11,416,0.3993620771668622,1715,101,94,0,0.0
291,85.21,48.4,5.1,11,512,0.4745270699758821,1734,100,96,0,0.0
292,85.36,50.33,5.1,11,525,0.4029343637991493,1734,100,93,0,0.0
293,85.52,52.27,5.1,11,237,0.6091661929851809,1689,102,97,0,0.0
294,88.87,0.0,5.61,12,457,0.435467113945365,1720,104,93,1,0.9822622107969152
295,89.02,1.936,5.61,12,608,0.3811322691055919,1713,101,91,0,0.0
296,89.17,3.872,5.61,12,690,0.2971844718700469,1733,98,97,0,0.0
297,89.33,5.808,5.61,12,753,0.4660206962356304,1740,103,94,0,0.0
298,89.48,7.744,5.61,12,842,0.4705311823421738,1764,100,95,0,0.0
299,89.63,9.68,5.61,12,453,0.4823702189572688,1708,101,95,0,0.0
300,89.78,11.62,5.61,12,733,0.3767870348745554,1751,102,93,0,0.0
301,89.94,13.55,5.61,12,530,0.4773271805972737,1723,99,95,0,0.0
302,90.09,15.49,5.61,12,571,0.403885209317573,1728,101,95,0,0.0
303,90.24,17.42,5.61,12,476,0.4733050063386328,1720,100,94,0,0.0
304,90.39,19.36,5.61,12,402,0.5389804363861997,1707,102,93,0,0.0
305,90.55,21.3,5.61,12,662,0.4577254104303911,1750,102,94,0,0.0
306,90.7,23.23,5.61,12,835,0.5148343344985273,1768,102,97,0,0.0
307,90.85,25.17,5.61,12,580,0.4385808249010759,1747,103,97,0,0.0
308,91.0,27.1,5.61,12,651,0.4264734213092397,1751,102,95,0,0.0
309,91.16,29.04,5.61,12,450,0.383204200507288,1720,102,95,0,0.0
310,91.31,30.97,5.61,12,570,0.4961305767066327,1750,103,96,0,0.0
311,91.46,32.91,5.61,12,607,0.4630240186410713,1752,102,97,0,0.0
312,91.61,34.85,5.61,12,572,0.4005527265512231,1752,102,97,0,0.0
313,91.77,36.78,5.61,12,360,0.4703705693477827,1712,101,95,0,0.0
314,91.92,38.72,5.61,12,435,0.4755135120568884,1728,100,95,0,0.0
315,92.07,40.65,5.61,12,397,0.5522490040754273,1719,100,95,0,0.0
316,92.22,42.59,5.61,12,1,0.0,1640,98,110,0,0.0
317,95.88,0.0,6.12,13,190,0.4359250865613358,1680,101,95,1,0.9822622107969152
318,96.03,1.936,6.12,13,1493,0.1998256612275421,1799,102,94,0,0.0
319,96.19,3.872,6.12,13,1062,0.4026536282287063,1775,103,94,0,0.0
320,96.34,5.808,6.12,13,716,0.5482656623726004,1740,102,93,0,0.0
321,96.49,7.744,6.12,13,699,0.5388870477801487,1737,101,96,0,0.0
322,96.64,9.68,6.12,13,497,0.498934194601945,1715,101,94,0,0.0
323,96.8,11.62,6.12,13,773,0.4261559569617197,1737,102,93,0,0.0
324,96.95,13.55,6.12,13,249,0.3954218809082363,1688,101,97,0,0.0
325,97.1,15.49,6.12,13,527,0.4993792898785664,1727,101,95,0,0.0
326,97.25,17.42,6.12,13,771,0.4758010785469163,1748,102,96,0,0.0
327,97.41,19.36,6.12,13,566,0.4766048947227661,1725,99,94,0,0.0
328,97.56,21.3,6.12,13,570,0.4404869955589877,1730,101,95,0,0.0
329,97.71,23.23,6.12,13,546,0.4658508559704557,1730,100,95,0,0.0
330,97.86,25.17,6.12,13,1148,0.4036899252041072,1798,104,95,0,0.0
331,98.02,27.1,6.12,13,360,0.4594785017997289,1700,100,95,0,0.0
332,98.17,29.04,6.12,13,782,0.4694635250759063,1766,101,97,0,0.0
333,98.32,30.97,6.12,13,490,0.3700125141207382,1729,102,95,0,0.0
334,98.47,32.91,6.12,13,549,0.5060576432482349,1735,99,94,0,0.0
335,98.63,34.85,6.12,13,659,0.4133338328899951,1753,102,97,0,0.0
