Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Porosity Label
Frame_565.csv,1096.0,1762.0,1278.2645,124.81586,1226.0,1212.0,1315.0,103.0,1.719525,2.3276453,4231,0
Frame_566.csv,1127.0,1761.0,1285.6343,110.03943,1243.0,1217.0,1328.0,111.0,1.711131,3.0644517,3426,0
Frame_567.csv,1107.0,1783.0,1295.6584,118.57201,1240.0,1226.0,1338.0,112.0,1.7335404,2.757216,3785,0
Frame_568.csv,1078.0,1749.0,1257.3129,111.69812,1217.0,1192.0,1299.0,107.0,1.845527,3.4745083,3448,0
Frame_569.csv,1077.0,1727.0,1257.4551,109.19909,1215.0,1190.0,1304.0,114.0,1.7115192,2.8962936,3573,0
Frame_57.csv,1114.0,1715.0,1297.1412,105.78906,1248.0,1234.0,1340.0,106.0,1.6457567,2.373108,3898,0
Frame_570.csv,1120.0,1782.0,1278.5433,115.42907,1235.0,1210.0,1319.0,109.0,1.8186917,3.3341594,3604,0
Frame_571.csv,1141.0,1782.0,1304.9066,116.919975,1259.0,1233.0,1346.0,113.0,1.6781397,2.5750031,3819,0
Frame_572.csv,1078.0,1747.0,1260.7933,117.048775,1204.0,1191.0,1305.0,114.0,1.7056985,2.6730978,3671,0
Frame_573.csv,1092.0,1757.0,1272.2388,111.90078,1221.0,1207.0,1309.0,102.0,1.7959114,3.2381725,3611,0
Frame_574.csv,1098.0,1744.0,1250.2748,112.2115,1210.0,1185.0,1291.0,106.0,1.8230064,3.4177666,3501,0
Frame_575.csv,1109.0,1781.0,1264.8917,116.08532,1210.0,1197.0,1305.0,108.0,1.8387297,3.4447024,3561,0
Frame_576.csv,1139.0,1824.0,1316.761,111.1061,1269.0,1244.0,1351.0,107.0,1.876609,3.6396973,3536,0
Frame_577.csv,1128.0,1779.0,1281.428,110.708145,1232.0,1218.0,1321.0,103.0,1.8396884,3.5726435,3435,0
Frame_578.csv,1074.0,1735.0,1250.0714,107.9497,1211.0,1187.0,1285.0,98.0,1.8552094,3.5441253,3574,0
Frame_579.csv,1099.0,1747.0,1249.4812,106.67909,1211.0,1186.0,1292.0,106.0,1.873131,3.8294494,3337,0
Frame_58.csv,1125.0,1726.0,1314.0465,105.410286,1273.0,1246.0,1361.0,115.0,1.5179894,1.959334,3756,0
